CloneID	P1Sig	P1STB	P1Cov	P2Sig	P2STB	P2Cov
1396353	1318	142	121	760	103	121
1383858	4577	492	80	1616	212	80
408670	830	93	109	515	72	109
406782	1128	125	83	983	130	83
405910	2332	261	141	1774	235	141
406471	805	88	97	511	69	97
407079	597	73	98	530	75	98
734707	679	79	84	426	65	84
735122	1255	138	119	1099	155	119
721744	328	44	98	292	49	98
720975	219	32	94	146	28	94
720884	191	29	94	135	27	94
721508	225	32	91	154	29	91
721433	1049	122	98	879	126	98
722076	336	44	90	198	34	90
721243	2606	284	95	1540	218	95
721006	232	35	95	169	31	95
718051	299	41	94	194	37	94
699291	1003	117	117	792	114	117
733967	477	60	86	383	58	86
734374	274	37	93	175	31	93
721729	232	35	100	184	34	100
720957	699	88	113	427	67	113
720866	2989	325	92	791	109	92
720766	1820	204	137	1307	180	137
722152	1479	166	89	913	124	89
721329	124	23	92	93	22	92
721219	133	24	97	93	21	97
721000	699	87	117	437	68	117
718025	412	54	96	374	58	96
699189	270	38	97	211	37	97
733965	186	30	95	131	27	95
733368	1049	122	110	920	133	110
721726	1133	133	90	811	121	90
721680	1317	149	115	1000	145	115
720858	128	24	93	84	22	93
720763	114	21	92	93	21	92
721406	169	29	93	111	26	93
722047	1086	120	101	652	94	101
721170	1268	143	88	874	127	88
718313	2020	223	116	1019	142	116
718013	111	22	91	78	21	91
699160	452	57	92	313	49	92
734685	270	38	98	189	34	98
721993	116	23	98	94	23	98
721721	320	43	97	246	41	97
720925	1246	144	112	900	120	112
720855	312	44	100	241	40	100
720753	442	59	100	257	44	100
722109	284	41	98	164	32	98
721312	1435	168	111	976	132	111
721157	273	40	94	165	32	94
718173	742	92	102	463	66	102
716546	389	51	94	304	48	94
698171	5582	610	108	3198	442	108
734674	1454	172	101	1195	181	101
721959	280	39	88	229	36	88
720995	102	19	87	82	20	87
720901	853	84	105	590	70	105
721577	785	83	80	841	106	80
721466	486	59	97	208	36	97
722104	1195	128	86	666	94	86
722021	745	88	111	364	57	111
721120	328	44	98	227	38	98
718142	1069	116	109	847	121	109
717171	5777	599	74	3680	459	74
718723	254	34	98	133	27	98
